id,nom,id_categorie,tags_osm,,Osm_data_count,,
1,Boutiques,1,shop=boutique,,49,,
2,Brocante,1,shop=department_store,,25,,
3,Supermarché,1,shop=supermarket,,208,,
4,Epicerie,1,shop=convenience,,3038,,
5,Blanchisseries et Pressings,1,amenity=washing_machine,,0,,
6,Centre Commercial,1,,,,,
7,Maison et Jardin,1,landuse=allotmentsrg,,0,,
8,"Hifi, téléphonie",1,amenity=telephone,,15,,
9,Fleuriste,1,shop=florist,,4,,
10,"Boulangerie, Pâtisserie",1,shop=bakery,,166,,
11,Caviste,1,,,,,
12,Tabac,1,shop=cannabis,,0,,
13,Jouets et jeux,1,shop=toy,,0,,
14,Magasin de sport,1,shop=sport,,0,,
15,Ameublement et Mobilier,1,office=estate_agent,,6,,
16,Fournitures de Bureaux,1,shop=stationery,,26,,
17,Mobilier de Bureaux,1,shop=stationery,,26,,
18,Mobilier de Jardin,1,leisure=garden,,2,,
19,Vêtements,1,shop=clothes,,715,,
20,Chaussures,1,shop=shoes,,76,,
21,Bijoux et accessoires,1,shop=fashion_accessories,,31,,
22,Puériculture,1,,,,,
23,Administrations,2,office=government,,394,,
24,Ambassades et Consulats,2,diplomatic=embassy,,40,,
25,"Associations, syndicats",2,office=association,,91,,
26,"Douane, Agences",2,,,,,
27,Ministères,2,,,,,
28,O.N.G & Organisations Internationales,2,office=ngo,,98,,
29,Offices Nationaux,2,office=government,,394,,
30,Poste,2,amenity=post_office,,60,,
31,Sécurité Sociale,2,amenity=social_facility,,306,,
32,Institution publique,2,office=government,,394,,
33,Matériels et Produits agricoles,3,building=barn, craft=agricultural_engines ,,6,
34,"Agricole, Produits Chimiques",3,building=barn,,6,,
35,Agriculture,3,building=barn,,6,,
36,Equipements et Matériel agricoles,3,building=barn, craft=agricultural_engines,,6,
37,Agro-Alimentaire,3,,,,,
38,Agro-Industrie,3,,,,,
39,Elevage,3,amenity=animal_breeding,,1,,
40,Elevage - Consultants,3,amenity=animal_breeding,,1,,
41,Abattoirs et Viande en Gros,4,,,,,
42,"Alcools, vins, spiritueux, drogueries",4,amenity=bar,shop=alcohol,,1881,
43,"Alimentaire, Distributeurs et Grossistes",4,,,,,
44,Industries alimentaires,4,landuse=industrial,,,,
45,Produits alimentaires,4,,,,,
46,Alimentation Animale,4,,,,,
47,Alimentation Générale,4,,,,,
48,Boissons,4,craft=brewery,amenity=bar,,1860,
49,Boucherie - charcuterie,4,,,,,
50,"Boulangeries, Patisseries, Glaces",4, shop=bakery,,166,,
51,"Boulangeries, Patisseries, Glaces - matériel & équipement",4,shop=bakery,,166,,
52,Brasseries,4,craft=brewery,,0,,
53,Brasseries - matériel & équipement,4,craft=brewery,,0,,
54,Cacao - Production et Exportation,4,highway=track,landuse=farm,,1,
55,Café - Production et Exportation,4,highway=track,landuse=farm,,1,
56,Catering,4,amenity=caterer,,0,,
57,Distilleries,4,craft=distillery,,0,,
58,Environnement,4,amenity=area,,0,,
59,Gomme Arabique,4,,,,,
60,"Lait, Yaourt et Fromage",4,shop=cheese,,0,,
61,Laiteries,4,vending=milk,,0,,
62,Minoteries,4,,,,,
63,Pêche - Commercialisation et Exportation,4,vending=fishing_bait,leisure=fishing,,3,
64,Pêche - Congelation,4,vending=fishing_bait,,3,,
65,"Sucre, Fabrication et Raffinage",4,,,,,
66,Supermarchés,4,shop=supermarket,,208,,
67,Thé - Production et Commercialisation,4,,,,,
68,Traiteurs,4,amenity=caterer,,0,,
69,Auto-Ecoles,5,amenity=driving_school,,114,,
70,Automobiles et Concessionnaires,5,shop=car_repair,,660,,
71,Expertises automobiles,5,shop=car_repair,,660,,
72,Automobiles - Pièces Détachées et Accessoires,5,shop=car_parts,,497,,
73,Voitures d'occasion,5,shop=second_hand,,35,,
74,Constructions Mécaniques,5,,,,,
75,Contrôles Techniques,5,amenity=vehicle_inspection,,0,,
76,Cycles et Motos,5,actuator=electric_motor,,0,,
77,Engins de Chantier et Matériels,5,,,,,
78,Garages,5,amenity=car_rental,,11,,
79,Mécanique Générale,5,,,,,
80,Mécanique - Industries,5,landuse=industrial,,,,
81,Moteurs et Pompes,5,,,,,
82,Pneumatiques,5,actuator=pneumatic_cylinder,,0,,
83,Tracking,5,cycleway=track,,,,
84,Véhicules Industriels,5,,,,,
85,Station-service,5,,,,,
86,Parking,5,amenity=parking,,31,,
87,Garage,5,building=garage,,130,,
88,Assurances,6,office=insurance,,94,,
89,Assurances Vies,6,office=insurance,,94,,
90,Assurances médicales,6,office=insurance,,94,,
91,Assureurs - Courtiers Et Conseils,6,office=insurance,,94,,
92,Banques et Organismes Financiers,6,amenity=bank,,326,,
93,Equipements de Sécurité Bancaire,6,amenity=bank,,326,,
94,Banques - Services Mobiles,6,amenity=bank,,326,,
95,Bureaux de Change et Transferts d'argent,6,amenity=bureau_de_change,,78,,
96,Bureaux de Contrôle,6,,,,,
97,Cabinets Comptables,6,,,,,
98,Centres d'Information,6,information=office,,5,,
99,Crédits et Finances,6,,,,,
100,"Enquêtes, recherches et investigation",6,,,,,
101,Holdings,6,,,,,
102,Investissements,6,,,,,
103,Transports de Fonds,6,,,,,
104,Adduction d'eau et VRD,7,,,,,
105,Agencement et Décoration,7,,,,,
106,Industrie d'aluminium,7,,,,,
107,Aménagement des Terrains Urbains,7,,,,,
108,Architecture et Urbanisme,7,,,,,
109,Ascenseurs,7,,,,,
110,Assainissement et Canalisations,7,,,,,
111,Bâches et Stores,7,outlet=noise_barrier,,0,,
112,Bâtiments et Travaux Publics,7,building=yes,,216,,
113,Bâtiments - Expertises,7,building=yes,,216,,
